date|event
24 Jun 1948|The Soviet Union begins the Berlin Blockade which cut off West Berlin from the West
25 Jun 1948|Following the Soviet blockade, the United States begins vast airlift to keep Berlin supplied with food and fuel
10 Dec 1948|UN General Assembly adopts Universal Declaration of Human Rights
1948|Alpher - Bethe and Gamow - explain nucleosynthesis in hot big bang
1948|Alpher and Herman predict cosmic background radiation
1948|Bardeen - Brattain and Shockley make semi-conductors and transistors
1948|Erwin Chargaff shows that in DNA the number of unit of one nucleic acid base, 'guanine' equals the number of another 'cytosine' units and the number of 'adenine' units equals the number of 'thymine' units. The famous GCAT components.
1948|Freeman Dyson shows the equivalence of Feynman and Schwinger-Tomonaga QED
1948|George Gamow - Ralph Alpher and Robert Herman predict that a Big Bang universe will have a blackbody cosmic microwave background with temperature about 5 K
1948|Goldhaber and Goldhaber provide experimental proof that beta particles are electrons
1948|Hendrik Casimir predicts a rudimentary attractive Casimir force on a parallel plate capacitor
1948|Hermann Bondi - Thomas Gold and Fred Hoyle propose steady state cosmologies based on the perfect cosmological principle
1948|John von Neumann mathematically studies self-reproducing machines
1948|Ralph Alpher - Hans Bethe and George Gamow examine element synthesis in a rapidly expanding and cooling universe and suggest that the elements were produced by rapid neutron capture
1948|Richard Feynman develops the path integral approach to quantum theory
1948|Tomonaga - Schwinger - Feynman - renormalisation of QED
1948|William Shockley - Walter Brattain and John Bardeen invent the transistor
1948|The LP record arrives on a vinal disk
1948|Shannon and Weaver of Bell Labs propound information theory
1948|Land's Polaroid camera prints pictures in a minute
1948|Hollywood switches to nonflammable film
1948|Public clamor for television begins - FCC freezes new licenses
1948|An airoplane re-broadcasts TV signal across nine states
1948|20 die & 6,000 made ill by smog in Donora Pennsylvania
1948|"200"" (5.08 m) Hale telescope dedicated at Palomar Observatory"
1948|"20th Academy Awards: ""Gentleman's Agreement"", Ronald Colman, Loretta Young win"
1948|28 year old British Mandate over Palestine ends
1948|35 Haganah members are ambushed & killed in Gush Etzyon
1948|5th Winter Olympic games open in St Moritz, Switzerland
1948|A flash of light is observed in the crater Plato on the Moon
1948|Alger Hiss denies ever being a Communist agent
1948|"Allen Funt's ""Candid Camera"" TV debut on ABC"
1948|American Library Association adopts the Library Bill of Rights
1948|Andy Ganteaume scores 112 for W Indies in only Test Cricket innings
1948|Arab legion attacks Gesher bridge on Jordan River
1948|Arab Legion captures fort on Mount Scopus
1948|Arabs blow up Jewish synagogue Hurvat Rabbi Yehudah he-Hasid
1948|Arabs bomb attack in Jerusalem, 50 die
1948|Belgian Government of Spaak resigns
1948|"Benjamin Brittens ""Beggar's Opera"" premieres in Cambridge"
1948|Bob Mathias, US, wins decathlon at London Olympics
1948|Britain grants independence to Burma
1948|Britain nationalizes its railways
1948|Britain's House of Commons votes to nationalize steel industry
1948|Burma declares independence from UK
1948|California Supreme Court voids state statute banning interracial marriages
1948|CBS news correspondent George Polk's body is found in Greece
1948|Ceylon (now Sri Lanka) gains independence from Britain (National Day)
1948|"Chinese refugee ship ""Kiangya"" explodes in E China Sea, killing 1,100"
1948|Commissioner Happy Chandler fines the Yankees, Cubs, & Phillies $500 each for signing high school players
1948|Communist form North China People's Republic
1948|Communist Party seizes complete control of Czechoslovakia
1948|Communists seize Czechoslovakia/C Gottwald becomes premier
1948|Cradle Will Rock closes at Mansfield Theater NYC after 34 performances
1948|Czechoslovakia's non-communist minister resigns
1948|"Dr Peter Goldmark of CBS demonstrates ""long playing record"" Columbia commits to 33 1/3 rpm records, plans to phase out 78's"
1948|Drachtster Boys soccer team forms in Drachten
1948|Dutch Liberal Party forms-People's party for Freedom & Democracy (VVD)
1948|Egypt, Lebanon, Syria, Iraq & Saudi-Arabia troops attack Israel
1948|Egyptians enter the Gaza
1948|Entire Hagana-arm forces sworn-in as Israeli soldiers
1948|Executive Order 9981, end segregation in US Armed Forces signed
1948|F-86 Sabre sets world aircraft speed record of 1080 kph
1948|Facsimile high-speed radio transmission is demonstrated in Washington DC
1948|Fanny Blankers-Koen (Neth) is 1st women to win 3 golds at Olympics
1948|Federation Malaysia forms from 9 sultanates
1948|Flag of Israel is adopted
1948|Former state department official Alger Hiss indicted in NYC for perjury
1948|France & Great Britain & Benelux sign Treaty of Brussels
1948|General Agreement on Tariffs & Trade effective
1948|Gerald Ford upsets Rep Bartel J Jonkman in Mich 5th Dist Rep primary
1948|"Glenn Taylor, Idaho Senator, arrested in Birmingham AL for trying to enter a meeting through a door marked ""for Negroes"""
1948|Greek General Markos' guerrilla army bombs Saloniki
1948|Gretchen Fraser becomes 1st US woman Olympics slalom champion
1948|Groundbreaking ceremony for the UN world headquarters
1948|Haganah takes control of Safed & port of Haifa
1948|Harry Truman signs Marshall Plan ($5B aid to 16 European countries)
1948|"Huston's ""Treasure of Sierra Madre"" starring Humphrey Bogart opens"
1948|Indian territory of Himachal Pradesh created
1948|Iraq captures Ge'ulim settlement
1948|Israel issues its 1st postage stamps
1948|Israel liberates Acre, Nebi Yusha & Telel-Kadi
1948|Israel recaptures Nizzanim in the Negev
1948|Israeli Radio Station Kol Yisrael's first broadcast
1948|Italy adopts constitution
1948|Japanese premier Hideki Tojo sentenced to death by war crimes tribunal
1948|Jewish Agency of Jerusalem bombed
1948|Jewish Hagana repells an Arab attack on Mishmar HaEmek
1948|Jim Laker takes 7-103 in his 1st Test Cricket innings vs West Indies Barbados
1948|John Costello follows Eamon Da Valera as premier of Ireland
1948|John Cunningham sets world altitude record (54,492' (18,133 meter))
1948|John Rudder becomes 1st negro commissioned officer in US marines
1948|Jordan's Arab League captures Atarot, north of Jerusalem
1948|Juliana becomes queen of the Netherlands
1948|Korczak Ziolkowski begins US sculpture of Crazy Horse near Mt Rushmore
1948|Lens to provide zoom effects patented-FG Back
1948|Luigi Einaudi elected President of Italy
1948|Magnetic tape recorder developed by Wireway
1948|Mao Zedong's army occupies Yenan
1948|Margaret Chase Smith (R-Me) elected senator, the first woman to serve in both US houses of Congress
1948|Mildred Gillars (Axis Sally) pleads innocent in Wash DC
1948|Milton Berle starts his TV career on Texaco Star Theater
1948|Miranda, famous moon of Uranus, photographed for 1st time
1948|Mahatma Gandhi begins his final fast saying he would not eat until the violence stopped and India gave back the 550 m rupees (about £40m) that it was holding from Pakistan
1948|National Security Council authorizes covert operations for 1st time
1948|Nazi collaborator V-Mann Antonius van de Waals sentenced to death
1948|Netherlands & Indonesia agree to a cease fire
1948|North Korea proclaims itself People's Democratic Republic of Korea
1948|Omar Bradley succeeds Dwight Eisenhower as Army Chief of Staff
1948|O'Neil Place in the Bronx erroneously renamed O'Neill Place
1948|Org of American States charter signed at Bogot , Colombia
1948|Orissa province accedes to India
1948|Palestine Post building in Jerusalem bombed
1948|People's Democratic Republic of Korea proclaimed
1948|Philips begin experimental TV broadcasting
1948|Pope Pius XII publishes encyclical Auspicia quaedam
1948|Provisionary Indonesian government installed in Batavia
1948|Pulitzer prize awarded to James Michener & Tennessee Williams
1948|Queen Wilhelmina of Netherlands abdicates
1948|Queen Wilhelmina signs death sentence against Ans van Dijk for treason
1948|Radio Denmark begins transmitting
1948|Ralph J Bunche confirmed as acting UN mediator in Palestine
1948|Ramat Rahel gateway to Jerusalem is repossessed by Israel
1948|Republic of Korea (South Korea) proclaimed (National Day)
1948|Republican Natl Convention in Phila nominates NY gov Thomas Dewey
1948|"Rogers & Hammerstein's ""South Pacific"" opens on Broadway"
1948|Saudi Arabia joins invasion of Israel
1948|Sir Laurence Olivier on the cover of LIFE magazine
1948|South Africa elects a nationalist government with apartheid policy
1948|Soviet Union recognized Israel
1948|Soviets set up a separate municipal government in East Berlin
1948|State of Eire (formerly Irish Free State) declares its independence
1948|Stern-group bomb Cairo-Haifa train, 27 British soldiers died
1948|14th Olympic games open in London
1948|"Ted Mack's ""Original Amateur Hour"" begins, DuMont (later NBC/ABC/CBS)"
1948|The first air squadron of jets aboard a carrier
1948|The first attack by Egyptian irregular forces at Kfar Darom Israel
1948|The first civilian to exceed speed of sound-Herb H Hoover, Edwards AFB California
1948|The first color newsreel filmed, Pasadena CA
1948|The first Jewish-Arab military battle, arabs defeated
1948|The first live televised musical Eugene Ormandy on CBS followed in 90 minutes by 2nd live televised musical Arturo Toscanini on NBC
1948|The first locomotive to carry 1,000,000 pounds (450,000 kg) operates
1948|"The first newsreel telecast, ""20th Century Fox-Movietone News"" shown on NBC"
1948|The first radio-controlled airplane flown
1948|The first stored computer program run, on Manchester Mark I
1948|The first Supermarket in UK opens
1948|The first tape recorder sold
1948|The first US house completely sunheated is occupied, Dover, Mass
1948|The first US woman army officer not in medical corps sworn-in
1948|The first use of Israeli Air Force & The first war victory, defeating Syrian army
1948|The first use of synthetic rubber in asphaltic concrete, Akron Oh
1948|The Hague Court of Justice convicts Hans Rauter (SS) to the death
1948|The IDF crosses the Egyptian border
1948|The Israeli pound becomes legal tender
1948|"The XP-86 prototype for the Sabre Jet first ""officially"" breaks the sound barrier. The first operational F-86A Sabres entered service in May of the same year"
1948|Transistor as a substitute for Radio tubes announced by Bell Labs
1948|Trial of 11 US Communist party members begins in New York City NY
1948|Truman beats Dewey, confounding pollsters & newspapers
1948|UN General Assembly unanimously approves Convention on Genocide
1948|US Congress passes Marshall Aid Act to rehabilitate war-torn Europe
1948|US expels Soviet Consul General in New York, Jacob Lomakin
1948|US grants Israel de facto recognition
1948|US performs atmospheric nuclear test at Enwetak
1948|US President Truman raises taxes for Marshall-plan
1948|US President Truman urges congress to adopt a civil rights program
1948|US rocket flies record 4800 KPH to 126k height
1948|US State Department announces work on placing objects into Earth orbit
1948|US Supreme Court decision (Sipuel vs Oklahoma State Board of Regents)
1948|Walter P Reuther UAW pres shot & wounded at his home in Detroit
1948|William Lyon Mackenzie King retires as PM of Canada
1948|Winston Churchill visits The Hague
1948|World Council of Churches formed by 147 churches from 44 countries
1948|Wright Flyer, 1st plane to fly, returns to US from England
1948|Myanmar joined the UN (now 58 members)
1948|(Between
1948|Edwin Land markets the Polaroid camera
1948|First 35mm Nikon camera is introduced
1948|First U.S. cable television systems appear
1948|Hasselblad 1600F introduced
1948|Milton Berle begins Texaco Star Theatre
1948|Nationalization of film industries in Bulgaria, Hungary, and Rumania
1948|Roberto Rossellini's 'The Miracle' is denied an exhibition permit by the New York State of Censors on the grounds that it is blasphemous, setting in motion a series of ground-breaking court cases dealing with film censorship
1948|S. S. Vasan's historical superproduction 'Chandralehka' sets Indian cinema on the course of big-budget entertainment
1948|The Bicycle Thief brings worldwide recognition to neorealist director Vittorio De Sica and screenwriter Cesare Zavattini
1948|The World Health Organisation is formed by the UN
1948|The US National Institutes of Health established
1948|Linus Pauling devises the theory that many proteins are helical, or spring shaped.
12 May 1949|The Berlin Blockade came to an end
24 May 1949|Federal Republic of Germany is founded (West Germany)
May 1949|National Chinese forces led by Chiang Kai-shek retreat from mainland China to Formosa
3 Aug 1949|US President Harry S. Truman signs a bill proclaiming June 14 as Flag Day. Since then the US President proclaims the commemoration yearly, and encourages all Americans in the country to display the Stars and Stripes outside their homes and businesses
Aug 1949|The USSR detonated its first atomic bomb
30 Sep 1949|Berlin Airlift ends after 277,000 flights
1 Oct 1949|China adopts the Gregorian calendar after a declaration by Mao Zedong
1949|Chinese Communist insurgents led by Mao Tse-tung took power
1949|Edward Murphy states his law
1949|English scientist Kathleen Drew-Baker described the complex life cycle of Porphyra (nori) which allowed commercial farming in Japan to flourish
1949|Fred Hoyle first uses the term 'big bang'
1949|Harold Lyons develops an atomic clock based on the quantum mechanical vibrations of the ammonia molecule
1949|Haxel - Jensen - Mayer and Suess develop the nuclear shell model
1949|Herbert Friedman detects solar X-rays
1949|J.G. Bolton - G.J. Stanley and O.B. Slee identify NGC 4486 (M87) and NGC 5128 as extragalactic radio sources
1949|John von Neumann computes Pi to 2037 decimal places using ENIAC
1949|Leighton anderson - Seriff - Muon is spin half
1949|Palomar 200-inch optical reflecting telescope begins regular operation which is located in Palomar California
1949|Palomar 48-inch Schmidt optical reflecting telescope begins operation which is located in Palomar California
1949|Seaborg, Ghiorso and Thompson discover element 97, Berkelium (Bk)
1949|The North Atlantic Treaty was signed creating NATO
1949|Network TV in US
1949|RCA offers the 45 rpm record
1949|Community Antenna Television - forerunner to cable
1949|Whirlwind at MIT is the first real time computer
1949|Magnetic core computer memory is invented
1949|"""South Pacific"" opens at Majestic Theater (for 1925 performances)"
1949|14 US Communist Party leaders convicted of sedition
1949|200 killed in train derailment near Nowy Dwor Poland
1949|"21st Academy Awards: ""Hamlet"", Laurence Olivier & Jane Wyman win"
1949|Administration of territory of Manipur taken over by Indian govt
1949|Air crash at Turijn (whole Torino-soccer team survives)
1949|Andrei Vishinsky succeeds Molotov as Soviet Foreign minister
1949|Antiquarian Booksellers Association of America incorporates
1949|"Arthur Miller wins Pulitzer Prize for ""Death of a Salesman"""
1949|Bhutan, land of the Dragon, became an independent monarchy
1949|Billy Graham begins his ministry
1949|Black/Indian race rebellion in Durban, South Africa; 142 die
1949|Bolivian state of siege proclaimed
1949|Britain nationalizes its steel & iron industry
1949|Britain, New Zealand & Switzerland recognize Israel
1949|British government recognizes the Republic of Ireland
1949|Candid Camera, TV comedy Variety, moves to NBC
1949|Cargo airlines 1st licensed by US Civil Aeronautics Board
1949|Chaim Weizmann becomes 1st Israeli President
1949|Chinese Communists captured Chungking
1949|"Chinese liner ""Taiping"" collides with a collier off south China"
1949|Chinese Nationalist government moves from Chinese mainland to Formosa
1949|Chinese Red army occupies Shanghai
1949|Council of Europe established
1949|Courtesy mail boxes for motorists started in SF
1949|"Dmitri Shostakovitch' ""Song of the Woods"", premieres in Leningrad"
1949|Dragnet is first broadcast on radio on KFI in Los Angeles
1949|Dutch court affirms death sentence against SS chief Hanns Rauter
1949|Dutch Drees government presents plan for the building of 30,000 houses
1949|East Germans constitution approved
1949|Eugenie Anderson becomes 1st woman ambassador nominated in US
1949|Failed assassination attempt on Shah of Iran
1949|Federal Republic of [West] Germany created under 3-power occupation
1949|Fire in riverfront area kills 1,700 (Chungking China)
1949|Gas turbine-electric locomotive demonstrated, Erie Pa
1949|General Spoor orders cease-fire on Sumatra
1949|Gerard Kuiper discovers Nereid, (2nd satellite of Neptune)
1949|German Dem Rep formed from Russian occupation zone (National Day)
1949|Huaso sets official world equestrian high-jump record, 2.47 m, Chicago
1949|Hungarian Cardinal Mindszenty sentenced to life in prison
1949|Hungary (Magyar People's Republic) accepts constitution
1949|Hungary nationalized its industries
1949|India adopts a constitution as a British Commonwealth Republic
1949|Israel & Egypt sign an armistice agreement
1949|Iva Toguri D'Aquino (Tokyo Rose) sentenced to 10 years & $10,000 fine
1949|J Edgar Hoover gives Shirley Temple a tear gas fountain pen
1949|Lucky Lady II (USAF B-50 Superfortress), completes 1st nonstop round-the-world flight at Fort Worth TX, covering 23,452-mis in 94 hours
1949|Mao's Red army conquers Ten-tsin
1949|Mass arrests of communists in India
1949|Mrs Georgia Neese Clark of Kansas becomes 1st woman treasurer of US
1949|NATO (North Atlantic Treaty Organization) ratified
1949|Newfoundland becomes Canada's 10th province
1949|North Atlantic Treaty Organization (NATO) treaty signed (Wash DC)
1949|NPS/VHP win 1st general election in Suriname
1949|Panic in Quito Ecuador, after 'War of the Worlds' is played on radio
1949|People's Republic of China proclaimed by Mao Tse-tung (National Day)
1949|Piet Van de Pol (Netherlands) becomes world champion billiard player
1949|Prince Rainier III coronation in Monaco
1949|Queen Juliana (Netherlands) grants sovereignty to Indonesia
1949|RCA releases 1st single record ever (45 rpm)
1949|Republic of China (Taiwan) forms on the island of Formosa
1949|Republic of Ireland withdraws from British Commonwealth
1949|Riot prevents Paul Robeson from singing near Peekskill NY
1949|Russian stop train traffic West-Berlin
1949|Sam Snead wins Masters golf tournament
1949|Security Council of UN recommends membership for Israel
1949|Siam renames itself Thailand
1949|"Sidney Kingsley's ""Detective Story"", premieres in New York NY"
1949|Snowfall 1st recorded in Los Angeles
1949|South Africa begins implementing apartheid; no mixed marriages
1949|South African Reverend Andries P Treurnicht marries Engela Dreyer
1949|SS police chief Rauter request for a pardon, denied
1949|State of Vietnam formed
1949|"Steamer ""Noronic"" burns at pier killing 128 (Toronto Canada)"
1949|Team Canada beats Denmark 47-0 in hockey
1949|The first 12 women graduate from Harvard Medical School
1949|The first automatic street light (New Milford CT)
1949|The first Bollingen Prize for poetry awarded to Ezra Pound
1949|The first British-produced jet bomber, Canberra, makes its The first test flight
1949|"The first Emmy Awards NBC's ""The Necklace"", Shirley Dinsdale & Pantomime Quiz (KTLA) win"
1949|The first firing of a US Viking rocket; reached 80 km
1949|The first foreign woman ambassador received in US (S V L Pandit India)
1949|The first Israeli election - Ben-Gurion's Mapai party wins
1949|The first magazine on microfilm offered to subscribers (Newsweek)
1949|The first Naples-Capri swim, 17 miles (27 km) (Giovanni Gambi)
1949|The first negro to graduate from US Naval Academy (Wesley Anthony Brown)
1949|The first photograph of genes is taken at University of Southern California by Pease and Baker
1949|The first Polaroid camera sold $89.95 (NYC)
1949|The first session of Knesset opens in Jerusalem
1949|The first UHF television station operating regular basis (Bridgeport Ct)
1949|The first US Congressional standing committee headed by Negro (W Dawson)
1949|The first US inaugural parade televised (Harry Truman)
1949|The Lone Ranger premiers on ABC-TV
1949|Tiger 2nd baseman Charlie Gehringer selected to Hall of Fame
1949|Tokelau (Union) Islands declared part of New Zealand
1949|Transjordan renamed Jordan
1949|Tripura accedes to the Indian union
1949|Truman announces evidence of USSR's 1st nuclear device detonation
1949|Truman signs bill establishing a rocket test range at Cape Canaveral
1949|Turkey recognizes Israel
1949|UN Security council condemns Dutch aggression in Indonesia
1949|Unidentified aircraft bomb Jerusalem
1949|United States of Indonesia gains independence from Netherlands
1949|US National Military Establishment renamed Dept of Defense
1949|"US President Harry S Truman labels his administration the ""Fair Deal"""
1949|US President Truman announces his point 4 program
1949|US President Truman signs Mutual Defense Assistance Act (for NATO)
1949|US troops withdraw from Korea after WW II
1949|USAF plane began 1st nonstop around-the-world flight
1949|V-2/WAC-Corporal 1st rocket to outer space, White Sands NM, 400 km
1949|"Walter & John Huston become 1st father-and-son team to win Oscars (actor & director of ""Treasure of Sierra Madre"")"
1949|Walter Baade discovers asteroid (#1566) Icarus inside orbit of Mercury
1949|West German constitution approved
1949|Israel joined the UN (now 59 members) by a vote of 37-12
1949|Britain's Ealing Studios establishes its reputation for witty comedies with 'Passport to Pimlico', 'Whiskey Galore!', and 'Kind Hearts and Coronets'
1949|Columbia Pictures converts its short-subject division to television production, beginning a trend other Hollywood studios would soon follow
1949|Following a decade of anti-trust litigation, the United States Supreme Court finds Hollywood guilty of monopolistic practices and hands down the 'Paramount' decision, ordering the studios to divorce and divest their theatre chains
1949|The Communist Party in the newly established People's Republic of China founds the Beijing Film Studio and nationalizes the film industry
1949|The division of Germany
1949|James Wright, a GE engineer, came upon the plastic material 'Silly Putty' by mixing silicone oil with boric acid. It had the ability to rebound almost 25 percent higher than a normal rubber ball, was impervious to rot, unable to maintain a shape for more than a short period, could be stretched many times its length without tearing and would copy the image of any printed material that it was pressed upon. It was sold under the name of 'Silly Putty', selling faster, at that time, than any other toy in history with over six million dollars in sales for the year
1949|George de Maestral, a Swiss engineer, developed 'Velcro', using nylon in a way that replicated the natural phenomenon of the way that cockleburs would use thousands of tiny hooks to cling to anything with which they came into contact. Velcro could be spun in any required thickness, would not rot, mold or naturally degrade and it was relatively inexpensive
1949|China invades eastern Tibet
Jan 1950|President Truman orders the Atomic Energy Commission to develop the hydrogen bomb (H-bomb)
Feb 1950|Senator Joseph McCarthy launches a crusade to rout out communism in America and 'McCarthyism' is born
Feb 1950|A multinational expedition is set up in Dronning Maud Land, by Sweden, Great Britain and Norway
Jun 1950|The Korean War began 
1950|Alan Turing proposes the 'Turing test' criterion for an intelligent machine
1950|Jan Oort suggests the presence of a cometary Oort cloud explaining the origin of comets
1950|Paul Dirac first suggests string theory
1950|Seaborg, Ghiorso, Street and Thompson discover element 98, Californium (Cf)
1950|Stanislaw Ulam and John von Neumann present cellular automata dynamical systems
1950|The US National Science Foundation was established
1950|Vidicon camera tube improves television pictures
1950|Changeable typewriter typefaces are in use
1950|11 men rob Brink's office in Boston of $1.2M cash & $1.5M securities
1950|22nd Academy Awards when 'All King's Men', Broderick Crawford and Olivia de Havilland win
1950|8.6 quake kills over 1,000 in Assam, India
1950|Because of forest fire in British Columbia, blue moon appears in England
1950|Belgian government of Eyskens resigns
1950|Belgium mine disaster at Borinage, 39 die
1950|Belgium votes (58%) for return of King Leopold III
1950|Belgium, Luxembourg & Netherlands recognize Israel
1950|Bob Hope's first TV appearance
1950|Britain recognizes Communist government of China
1950|Celal Bayar elected president of Turkey
1950|Chiang Kai-shek asks US for weapons
1950|Chiang Kai-shek resumed the Presidency of National China on Formosa
1950|China enters Korean conflict, sends troops across Yalu River into South Korea
1950|Chinese forces occupy Tibet
1950|Collazo and Torresola attempt to kill Truman in Washington, DC
1950|Dick Tracy TV show sparks uproar concerning violence
1950|Diner's Club issues its 1st credit cards
1950|During Korean conflict, UN forces land at Inchon in the south
1950|Dutch 1st Chamber accept Laws on immigration
1950|Dutch PM Malan recognizes South-Africa but not China People's Republic
1950|Dutch poet Gerrit Achterberg wins PC Hooft prize
1950|Dylan Thomas arrives in New York NY for his 1st US poetry reading tour
1950|FBI's '10 Most Wanted Fugitives' program begins
1950|General Eisenhower named NATO commander.
1950|General Motors reports net earnings of $656,434,232, which is a new record
1950|Georges Bidault forms French government
1950|Gwendolyn Brooks, is the first Black person awarded a Pulitzer Prize (for poetry)
1950|Ho Chi Minh begins offensive against French troops in Indo-China
1950|India becomes a republic ceasing to be a British dominion
1950|Indonesia gains independence from the Netherlands
1950|International Olympic Committee votes admission to West Germany
1950|Israeli airline El Al begins service
1950|Israeli Knesset resolves that Jerusalem is the capital of Israel
1950|Jacobo Arbenz Guzm n elected President of Guatemala
1950|Klaus Fuchs sentenced to 14 years for atomic espionage (London)
1950|Korean conflict begins when North Korea invades South Korea
1950|Labour wins British parliamentary election
1950|Liz Taylor's 1st marriage, to Conrad Hilton Jr
1950|Maiden flight by Canada's Avro Canada CF-100 military plane
1950|Marshall Voroshilov of USSR announces they developed atomic bomb
1950|National Council of the Church of Christ in US established
1950|Netherlands recognizes People's Republic of China
1950|New marriage laws enforced in People's Republic China
1950|Nuclear physicist Klaus Fuchs was arrested on spy charges
1950|Operation Magic Carpet when 45,000 Yemenite Jews are moved to Israel
1950|Phototransistor invention announced, Murray Hill NJ
1950|Phumiphon Abundet crowned as king Rama IX of Thailand
1950|Pope Pius XII encyclical 'On combating atheistic propaganda'
1950|Puerto Rican nationalists try to kill President Truman at the Blair House
1950|Pulitzer prize awarded to Rodgers and Hammerstein for 'South Pacific'
1950|Rag Mop by The Ames Brothers hit number 1
1950|Ralph J Bunche becomes the first black American to be presented with the Nobel Peace Prize
1950|Rebel army of cap Raymond Westerner occupies Bandung
1950|Rev Sun Young Moon liberated from Hung Nam prison.
1950|Richard Strauss' '4 Last Songs' (4 letzte Lieder) premiers in London
1950|Sikkim becomes a protectorate of India
1950|Sophocles Venizelos forms liberal Greeks government
1950|South Africa passes Group Areas Act segregating races
1950|Suriname becomes independent part in Realm of Netherlands
1950|Swedish tanker rams British submarine Truculent in Thames, 64 die
1950|Territory of Guam created
1950|The comic strip 'Peanuts' first appears, in 9 newspapers
1950|The first congress of Internat'l Astronautical Federation opens in Paris
1950|The first helicopter rescue of American pilot behind enemy lines
1950|The first kidney transplant (Chicago)
1950|The first transatlantic jet passenger trip
1950|The first typesetting machine to dispense with metal type exhibited
1950|US President Truman proclaims state of emergency against 'Communist imperialism'
1950|UN forces entered Pyongyang, the capital of North Korea
1950|UN gets US government approval to issue postage stamps
1950|UN Security Council calls on members for troops to aid South Korea
1950|UN troops in Korean War recaptured South Korean capital of Seoul
1950|UN World Meteorological Organization established
1950|Urko Kekkonen elected president of Finland
1950|US & Great-Britain recognize Bao Dai Vietnamese regime
1950|US President Truman orders Air Force & Navy into Korean conflict
1950|US President Truman orders army to seize control of the railroads to avert a strike
1950|US President Truman reveals that he ordered the Atomic Energy Commission to develop the hydrogen bomb
1950|US recalls all consular officials from China
1950|US sends 35 military advisers to South Vietnam
1950|US Supreme Court undermines legal foundations of segregation
1950|USSR & China sign peace treaty
1950|USSR demands condemnation of Emperor Hirohito for war crimes
1950|USSR issues golden rubles
1950|USSR re-introduces death penalty for treason, espionage & sabotage
1950|Vietnamese troops of Ho Chi-Minh attack Cambodia
1950|Walt Disney's 'Cinderella' is released
1950|West Berlin granted a constitution
1950|West Germany & Japan readmitted to Intl Amateur Athletic Federation
1950|Indonesia joined the UN (now 60 members)
1950|(Between
1950|(Between
1950|(Between
1950|(Between
1950|(Between
1950|Billy Wilder's 'Sunset Boulevard' with Gloria Swanson and Joseph L. Mankiewicz's 'All About Eve' starring Bette Davis, are the first of a series of films critical of Hollywood mythology
1950|Kodak introduces a new multi-layered film stock in which emulsions sensitive to red, green, and blue are bonded together on a single roll. Patented as Eastmancolor
1950|The US National Science Foundation established
Dec 1951|The first usable electricity from nuclear fission is produced at the National Reactor Station which is later called the Idaho National Engineering Laboratory
1951|Gerard Kuiper argues for an annular reservoir of comets between 40 and 100 astronomical units from the Sun
1951|H.I. Ewen and Edward Purcell observe the 21 cm hyperfine line of neutral interstellar hydrogen
1951|Martin Deutsch discovers positronium
1951|Presper Eckert and John Mauchly finish UNIVAC I - the first mass-produced electronic computer
1951|Robert Woodward synthesizes cholesterol and cortisone
1951|Smith and Baade identify a radio galaxy
1951|William McCrea shows that the steady state C-field can be accommodated within general relativity by interpreting it as a contribution to the energy-momentum tensor with an unusual equation of state
1951|One and a half million TV sets in US - a tenfold jump in one year
1951|Cinerama introduced with a wide - curved screen and three projectors
1951|Still camera get built-in flash units
1951|US coaxial cable reaches coast to coast
1951|"""I Love Lucy"" debuts on CBS TV"
1951|22nd amendment to the US Constitution is ratified, limiting President to 2 terms
1951|2nd Dutch government of Drees forms
1951|600,000 march for peace & freedom in Germany
1951|"9 Jewish Kremlin physicians ""exposed"" as British/US agents"
1951|Alfred Krupp & 28 other German war criminals freed
1951|AT&T is the first US company to have one million stockholders
1951|Bread rationing in Czechoslovakia
1951|British diplomats Guy Burgess and Donald Maclean defect to the USSR
1951|China refuses cease-fire in Korea
1951|Chinese Communists force Dalai Lama to surrender his army to Beijing
1951|Communist troops driven out of Seoul
1951|Constitution of Jordan passed
1951|Douglas D-558-II Skyrocket reaches 1,992 kph
1951|During Korean War, US/UN forces recapture Seoul
1951|Dutch government Drees-van Schaik resigns
1951|E Purcell & EM Ewen detect 21-cm radiation at Harvard physics lab
1951|Earthquake at Euskirchen, Germany
1951|Florence Chadwick becomes 1st woman to swim the English Channel from England to France. It takes 16 hours & 19 minutes
1951|"Frank Sinatra recorded ""I'm a Fool to Want You"""
1951|French government of Pleven dissolves
1951|German General F Christian freed early from Dutch prison
1951|"Hermann Flake sentenced to death due to ""hate campaign against German Democratic Republic"""
1951|Indonesian army offensive against Darul Islam on Java
1951|International Olympic committee allows Russia to participate in 1952 Olympics
1951|International Table Tennis Federation bans Egypt (for refusing to play Israel)
1951|Israel demands DM 6.2 billion compensation from Germany
1951|Japan signs a treaty of peace with 48 countries
1951|Julius & Ethel Rosenberg, atomic spies, sentenced to death for espionage
1951|Kwame Nkrumah wins 1st parliamentary election on Gold coast (Ghana)
1951|"Life After Tomorrow, 1st film to receive an ""X"" rating, premieres"
1951|Liz Taylor's 1st divorce (Conrad Hilton Jr)
1951|Massive Chinese/North Korean assault on UN-lines
1951|Mozambique becomes an oversea province of Portugal
1951|Netherlands & South Africa sign cultural accord
1951|Peace talks aimed at ending Korean War resumed in Panmunjom
1951|Iran nationalizes the Anglo-Iranian Oil Company
1951|Pulitzer prize awarded to Conrad Richter (The Town)
